====================================================================
TOP DISCOVERED CONNECTIONS (no encoded edge, graph distance >= 3)
====================================================================
A -> B                                      logic       k   lin    eff   k_ctx  k_data
Q_v_esc -> Q_g_field                 POWER k=+2.50   +2.50  0.99  1.536   0.396   2.561
Q_v_orb -> Q_g_field                 POWER k=+2.52   +2.52  0.99  1.531   0.867   2.561
Q_v_esc -> Q_F_grav                  POWER k=+2.36   +2.36  0.99  1.438   0.134   2.556
Q_v_orb -> Q_F_grav                  POWER k=+2.35   +2.35  0.99  1.410   0.128   2.556
Q_v_esc -> Q_PE_orb                  POWER k=+1.85   +1.85  1.00  1.063   0.638   1.995
Q_v_orb -> Q_PE_orb                  POWER k=+1.83   +1.83  0.99  1.039   0.704   1.995
Q_v_esc -> Q_E_orb                   POWER k=+1.80   +1.80  1.00  1.030    0.62   1.995
Q_v_orb -> Q_E_orb                   POWER k=+1.79   +1.79  0.99  1.016    0.67   1.995
Q_v_esc -> Q_T_orb                   POWER k=-1.52   -1.52  0.99  0.938  -0.277  -1.561
Q_T_orb -> Q_g_field                 POWER k=-1.49   -1.49  1.00  0.926  -0.617  -1.479
Q_T_orb -> Q_F_grav                  POWER k=-1.50   -1.50  0.99  0.925  -0.337  -1.476
Q_v_orb -> Q_T_orb                   POWER k=-1.52   -1.52  0.99  0.923  -0.472  -1.561
Q_W_wt -> Q_PE_orb                   POWER k=+1.61   +1.61  0.98  0.879   0.024    None
Q_F_incl -> Q_PE_orb                 POWER k=+1.57   +1.57  0.98  0.846   0.025    None
Q_N_incl -> Q_PE_orb                 POWER k=+1.57   +1.57  0.98  0.845   0.026    None
Q_v_max -> Q_a_max                   POWER k=+1.41   +1.41  0.99  0.834    0.13   1.514
Q_E_orb -> Q_F_grav                  POWER k=+1.49   +1.49  0.99  0.825   0.024   1.219
Q_E_orb -> Q_g_field                 POWER k=+1.48   +1.48  0.99  0.812    0.01   0.998
Q_PE_orb -> Q_F_grav                 POWER k=+1.45   +1.45  0.99  0.799   0.011   1.219
Q_PE_orb -> Q_g_field                POWER k=+1.44   +1.44  0.99  0.783   0.004   0.998
Q_W_wt -> Q_E_orb                    POWER k=+1.41   +1.41  0.99  0.769    0.01    None
Q_omega -> Q_ac                      POWER k=+1.50   +1.50  0.94  0.798   0.712   1.993
Q_L_ang -> Q_KE_rot                  POWER k=+1.26   +1.26  1.00  0.751   0.018   1.259
Q_F_incl -> Q_F_grav                 POWER k=+1.33   +1.33  0.99  0.752   0.012    None
Q_N_incl -> Q_F_grav                 POWER k=+1.33   +1.33  0.98  0.751   0.012    None
Q_N_incl -> Q_E_orb                  POWER k=+1.38   +1.38  0.98  0.743   0.012    None
Q_F_incl -> Q_E_orb                  POWER k=+1.38   +1.38  0.98  0.743   0.011    None
Q_v_max -> Q_E_shm                   POWER k=+1.30   +1.30  0.99  0.719   0.179   1.538
Q_PE_g -> Q_E_orb                    POWER k=+1.18   +1.18  0.99  0.681  -0.005    None
Q_f -> Q_a_max                       POWER k=+1.39   +1.39  0.92  0.737   0.041   1.992
Q_v_max -> Q_a_shm                   POWER k=+1.16   +1.16  1.00  0.655   0.074   1.516
Q_v_shm -> Q_a_max                   POWER k=+1.14   +1.14  0.99  0.655   0.044   1.269
Q_v -> Q_KE_rot                      POWER k=+1.31   +1.31  0.96  0.678   0.017   1.813
Q_v_max -> Q_KE_rot                        LINEAR   +1.06  0.99  0.619    0.01    None
Q_E_orb -> Q_PE_orb                        LINEAR   +1.11  0.98  0.620    -0.0     1.0
Q_f -> Q_KE_rot                      POWER k=+1.31   +1.31  0.91  0.662   0.026   2.005
Q_v_tan -> Q_KE_rot                  POWER k=+1.13   +1.13  0.98  0.614   0.011    None
Q_F_spr -> Q_PE_spr                        LINEAR   +1.02  0.99  0.603   0.695   1.371
Q_a_shm -> Q_a_max                         LINEAR   +0.93  0.98  0.606   0.053    0.93
Q_p -> Q_PE_orb                            LINEAR   +1.01  0.99  0.598   0.185    None
